ENSG00000000003.10	42
ENSG00000000005.5	0
ENSG00000000419.8	375
ENSG00000000457.9	613
ENSG00000000460.12	187
ENSG00000000938.8	1336
ENSG00000000971.11	948
ENSG00000001036.9	93
ENSG00000001084.6	716
ENSG00000001167.10	318
ENSG00000001460.13	259
ENSG00000001461.12	765
ENSG00000001497.12	310
ENSG00000001561.6	104
ENSG00000001617.7	404
ENSG00000001626.10	1454
ENSG00000001629.5	2783
ENSG00000001630.11	0
ENSG00000001631.10	739
ENSG00000002016.12	500
ENSG00000002079.8	5
ENSG00000002330.9	191
ENSG00000002549.8	1709
ENSG00000002586.13	0
ENSG00000002587.5	323
ENSG00000002726.15	3
ENSG00000002745.8	0
ENSG00000002746.10	61
ENSG00000002822.11	3379
ENSG00000002834.13	1925
ENSG00000002919.10	84
ENSG00000002933.3	8
ENSG00000003056.3	258
ENSG00000003096.9	325
ENSG00000003137.4	9
ENSG00000003147.13	2383
ENSG00000003249.9	18
ENSG00000003393.10	946
ENSG00000003400.10	1523
ENSG00000003402.15	7328
ENSG00000003436.10	3468
ENSG00000003509.11	153
ENSG00000003756.12	803
ENSG00000003987.9	40
ENSG00000003989.12	639
ENSG00000004059.6	7
ENSG00000004139.9	278
ENSG00000004142.7	62
ENSG00000004399.8	2182
ENSG00000004455.12	1043
ENSG00000004468.8	612
ENSG00000004478.5	336
ENSG00000004487.11	1652
ENSG00000004534.10	8280
ENSG00000004660.10	195
ENSG00000004700.11	460
ENSG00000004766.11	1387
ENSG00000004776.7	9
ENSG00000004777.14	13
ENSG00000004779.5	254
ENSG00000004799.7	434
ENSG00000004809.9	2
ENSG00000004838.9	11
ENSG00000004846.12	6
ENSG00000004848.6	1
ENSG00000004864.9	4598
ENSG00000004866.14	1717
ENSG00000004897.7	1547
ENSG00000004939.9	1
ENSG00000004948.9	5
ENSG00000004961.10	56
ENSG00000004975.7	53
ENSG00000005001.5	37
ENSG00000005007.8	740
ENSG00000005020.8	3720
ENSG00000005022.5	11
ENSG00000005059.11	1690
ENSG00000005073.5	0
ENSG00000005075.11	52
ENSG00000005100.8	108
ENSG00000005102.8	29
ENSG00000005108.11	1294
ENSG00000005156.7	269
ENSG00000005175.5	314
ENSG00000005187.7	298
ENSG00000005189.15	42
ENSG00000005194.10	220
ENSG00000005206.12	82
ENSG00000005238.15	57
ENSG00000005243.5	74
ENSG00000005249.8	292
ENSG00000005302.13	190
ENSG00000005339.8	5028
ENSG00000005379.11	493
ENSG00000005381.6	21
ENSG00000005421.4	149
ENSG00000005436.9	674
ENSG00000005448.12	3
ENSG00000005469.7	212
ENSG00000005471.11	17
ENSG00000005483.15	8481
ENSG00000005486.12	343
ENSG00000005513.9	0
ENSG00000005700.10	1384
ENSG00000005801.12	557
ENSG00000005810.13	7118
ENSG00000005812.6	378
ENSG00000005844.13	1047
ENSG00000005882.7	83
ENSG00000005884.13	2768
ENSG00000005889.11	1302
ENSG00000005893.11	862
ENSG00000005955.8	1112
ENSG00000005961.13	8
ENSG00000005981.8	25
ENSG00000006007.7	106
ENSG00000006015.13	1
ENSG00000006016.6	15
ENSG00000006025.7	102
ENSG00000006042.7	113
ENSG00000006047.8	0
ENSG00000006059.3	0
ENSG00000006062.9	2402
ENSG00000006071.7	71
ENSG00000006074.4	141
ENSG00000006075.11	7
ENSG00000006114.11	1440
ENSG00000006116.3	0
ENSG00000006118.10	16
ENSG00000006125.12	3040
ENSG00000006128.7	0
ENSG00000006194.6	480
ENSG00000006210.6	670
ENSG00000006282.15	19
ENSG00000006283.13	11
ENSG00000006327.9	2
ENSG00000006377.9	0
ENSG00000006432.11	892
ENSG00000006451.3	3849
ENSG00000006453.9	1330
ENSG00000006459.6	3222
ENSG00000006468.9	1131
ENSG00000006530.11	939
ENSG00000006534.11	779
ENSG00000006555.6	185
ENSG00000006576.12	1535
ENSG00000006606.4	0
ENSG00000006607.9	2103
ENSG00000006611.11	31
ENSG00000006625.13	140
ENSG00000006634.3	168
ENSG00000006638.7	4
ENSG00000006652.9	2204
ENSG00000006659.8	0
ENSG00000006695.6	553
ENSG00000006704.6	1252
ENSG00000006712.10	30
ENSG00000006715.11	3094
ENSG00000006740.12	4330
ENSG00000006744.14	689
ENSG00000006747.10	147
ENSG00000006756.11	236
ENSG00000006757.7	72
ENSG00000006788.8	0
ENSG00000006831.9	2924
ENSG00000006837.7	0
ENSG00000007001.8	104
ENSG00000007038.6	6
ENSG00000007047.10	623
ENSG00000007062.7	799
ENSG00000007080.6	74
ENSG00000007129.13	148
ENSG00000007168.8	5201
ENSG00000007171.12	50
ENSG00000007174.13	1006
ENSG00000007202.10	432
ENSG00000007216.10	6
ENSG00000007237.14	7146
ENSG00000007255.6	154
ENSG00000007264.9	97
ENSG00000007306.10	3
ENSG00000007312.8	4
ENSG00000007314.7	0
ENSG00000007341.14	892
ENSG00000007350.12	13
ENSG00000007372.16	0
ENSG00000007376.3	0
ENSG00000007384.11	304
ENSG00000007392.12	1671
ENSG00000007402.7	5291
ENSG00000007516.9	22
ENSG00000007520.3	12
ENSG00000007541.10	53
ENSG00000007545.11	404
ENSG00000007866.14	573
ENSG00000007908.11	144
ENSG00000007923.11	821
ENSG00000007933.8	123
ENSG00000007944.10	1378
ENSG00000007952.13	4
ENSG00000007968.6	17
ENSG00000008018.8	842
ENSG00000008056.8	4
ENSG00000008083.9	10986
ENSG00000008086.6	3941
ENSG00000008118.5	5
ENSG00000008128.18	0
ENSG00000008130.11	597
ENSG00000008196.8	2
ENSG00000008197.4	0
ENSG00000008226.15	279
ENSG00000008256.11	2166
ENSG00000008277.10	158
ENSG00000008282.3	187
ENSG00000008283.11	190
ENSG00000008294.16	6874
ENSG00000008300.10	14
ENSG00000008311.10	772
ENSG00000008323.11	69
ENSG00000008324.6	96
ENSG00000008382.11	34
ENSG00000008394.8	974
ENSG00000008405.7	1626
ENSG00000008438.4	2
ENSG00000008441.12	3550
ENSG00000008513.10	11906
ENSG00000008516.12	27
ENSG00000008517.12	292
ENSG00000008710.13	236
ENSG00000008735.10	3
ENSG00000008838.13	487
ENSG00000008853.12	964
ENSG00000008869.7	1408
ENSG00000008952.12	586
ENSG00000008988.5	161
ENSG00000009307.11	1626
ENSG00000009335.13	4704
ENSG00000009413.11	7455
ENSG00000009694.9	287
ENSG00000009709.7	0
ENSG00000009724.12	0
ENSG00000009765.10	11
ENSG00000009780.11	497
ENSG00000009790.10	341
ENSG00000009830.7	272
ENSG00000009844.11	447
ENSG00000009950.11	101
ENSG00000009954.6	2394
ENSG00000010017.9	3992
ENSG00000010030.9	322
ENSG00000010072.11	79
ENSG00000010165.15	101
